YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
,Show a list of soccer clubs that play in the Bundesliga.,"1. FC Nürnberg, 1. FC Union Berlin, 1. FSV Mainz 05, Bayer 04 Leverkusen, Borussia Dortmund, Borussia Mönchengladbach, Eintracht Frankfurt, FC Bayern Munich, FC Ingolstadt 04, FC Schalke 04, Fortuna Düsseldorf, Hertha BSC, RB Leipzig, SC Freiburg, SV Darmstadt 98, SV Werder Bremen, TSG 1899 Hoffenheim, VfB Stuttgart, VfL Wolfsburg",,"1. FC Köln, 1. FSV Mainz 05, 1976–77 Tennis Borussia Berlin season, 1977–78 VfL Bochum season, 1978–79 VfL Bochum season, 1979–80 VfL Bochum season, 1980–81 VfL Bochum season, 1981–82 VfL Bochum season, 1982–83 VfL Bochum season, 1983–84 VfL Bochum season, 1984–85 VfL Bochum season, 1985–86 VfL Bochum season, 1986–87 VfL Bochum season, 1987–88 VfL Bochum season, 1988–89 VfL Bochum season, 1989–90 VfL Bochum season, 1990–91 VfL Bochum season, 1991–92 VfL Bochum season, 1992–93 VfL Bochum season, 1994–95 VfL Bochum season, 1996–97 VfL Bochum season, 1997–98 VfL Bochum season, 1998–99 VfL Bochum season, 2000–01 VfL Bochum season, 2002–03 VfL Bochum season, 2003–04 VfL Bochum season, 2004–05 VfL Bochum season, 2006–07 VfL Bochum season, 2007–08 VfL Bochum season, 2008–09 VfL Bochum season, 2009–10 VfL Bochum season, 2011–12 Borussia Dortmund season, 2011–12 FC Bayern Munich season, 2012–13 SV Werder Bremen season, 2014–15 SV Werder Bremen season, 2015–16 Borussia Dortmund season, Bayer 04 Leverkusen, Borussia Dortmund, Borussia Mönchengladbach, Eintracht Frankfurt, FC Augsburg, FC Bayern Munich, FC Ingolstadt 04, FC Schalke 04, Hamburger SV, Hertha BSC, RB Leipzig, SC Freiburg, SV Darmstadt 98, SV Werder Bremen, TSG 1899 Hoffenheim, VfL Wolfsburg",,46
,What kind of music did Lou Reed play?,"alternative rock, art rock, blue-eyed soul, drone music, experimental rock, folk rock, glam rock, noise rock, protopunk, psychedelic rock, rock music, spoken word",,"Art rock, Experimental music, Glam rock, Proto-punk, Rock music",,44
,Where do the Red Sox play?,Fenway Park,,Fenway Park,,45
,Give me all Swiss non-profit organizations.,"Aebli-Näf-Stiftung, Africa Progress Panel, Age Stiftung, Alliance Sud, Alpine Biology Center, Alzheimer Schweiz, Anna Mueller Grocholski-Stiftung, Association Nationale pour le Developpement de la Qualité Dans les Hôpitaux et Les Cliniques, Association des amis des bateaux à vapeur du Léman, Association for Pediatric Pulmonary Hypertension, Basel Institute on Governance, Battelle, Baugarten Zürich Stiftung, Bergwaldprojekt, Biovision, Bradshaw Foundation, Brocher Foundation, Cabi, Centre Régional d'Etudes des Populations Alpines, Centre for Applied Studies in International Negotiations, Centre for Research on the Alpine environment, Centre for Socio-Eco-Nomic Development, Centre pour l'action non-violente, Children's Oncology Group, Christlicher Friedensdienst, Clayton Foundation, Club of Rome, Cogito Foundation, Concept Foundation, Council on Health Research for Development, Developing Countries Vaccine Manufactures Network, Doerenkamp-Zbinden Foundation, Ebnet Stiftung, Ecancer, Edmond J. Safra Philanthropic Foundation, Ettore and Valeria Rossi Foundation, European Academy of Dermatology and Venereology, European Foundation for Clinical Nanomedicine, European School of Oncology, European Thoracic Oncology Platform, Eurovacc Foundation, Federation of Swiss Private Schools, Fondation Acteria, Fondation Bertarelli, Fondation Ernst et Lucie Schmidheiny, Fondation Gandur pour l’Art, Fondation Hans Wilsdorf, Fondation Leenaards, Fondation Max van Berchem, Fondation Medic, Fondation Roger de Spoelberch, Fondazione Alpina per le Scienze della Vita, Forest Biosecurity Research Council, Foundation for People with Rare Diseases, Foundation for Research on Information Technologies in Society, Foundation for laboratory medicine, Foundation for the Research and Cure of Lymphoma in Ticino, Foundation of the Founders, Gebert Rüf Stiftung, Global Alliance for Improved Nutrition, Gottfried und Julia Bangerter-Rhyner-Stiftung, Hackuarium, Hans Eggenberger Stiftung, Helmut Horten Foundation, Herzstiftung Olten, ITI International Team for Implantology, Inclusione Andicap Ticino, Institut Suisse de Spéléologie et de Karstologie, Institut de Recherche en Opthalmologie, Institution Genevoise de Maintien à Domicile, International Alliance for Biological Standardization, International Bone Research Association, International Ecological Engineering Society, International Foundation for Research in Paraplegia, International Hotel & Restaurant Association, International Olympic Committee, International Rowing Federation, Jacques and Gloria Gossweiler Foundation, Karl Jaspers Stiftung, Krebsliga Beider Basel, Krisenintervention Schweiz, Lauener Foundation for Analytical Philosophy, Ligue Genevoise Contre le Cancer, Ligue Pulmonaire Genevoise, Ludwig Institute for Cancer Research, Mobsya, NET Metrix, Nestlé Foundation, Neuromuscular Research Association Basel, Nomis Foundation, Nursing Science Foundation Switzerland, OPO-Stiftung, Osteology Foundation, Osteosynthesis and Trauma Care Foundation, Past Global Changes, Pestalozzianum, Pflege-und Adoptivkinder Schweiz, Prevention Alzheimer International Foundation, Pro Pferd, Pro Velo Switzerland, Qualitouch-HC Foundation, RMS Foundation, Reha Rheinfelden, ResOrtho Foundation, Ria & Arthur Dietschweiler Stiftung, Rising Tide Foundation, Roadmovie, Roche Organ Transplantation Research Foundation, SWITCH Information Technology Services, Save Our Seas Foundation, Schweizer Presserat, Schweizerische Gesellschaft für Cystische Fibrose, Schweizerische Gesellschaft für Ländliche Geschichte, Schweizerische Studienstiftung, Schweizerische Vereinigung Industrie und Landwirtschaft, Schweizerische Ärztegesellschaft für Psycholytische Therapie, Schweizerischer Juristenverein, Service Régional Vaudois de Transfusion Sanguine, Société Académique Vaudoise, Société Académique de Genève, St. Gallen Oncology Conferences, Stanley Thomas Johnson Foundation, Stiftung Empiris, Stiftung Zürcher Kinder- und Jugendheime, Stiftung für Forschung in Spätantike und Mittelalter HR. Sennhauser, Stockalperstiftung, Swiss AIDS Federation, Swiss Academy for Development, Swiss Ankylosing Spondylitis Association, Swiss Anorexia Nervosa Foundation, Swiss Continence Foundation, Swiss Foundation for the Research of Gemstones, Swiss Group For Clinical Cancer Research, Swiss Institute for Regenerative Medicine, Swiss Institute of Bioinformatics, Swiss League against Cancer, Swiss Multiple Sclerosis Society, Swiss Paediatric Oncology Group, Swiss Philanthropy Foundation, Swiss Sociological Association, Swiss Stem Cell Foundation, Swiss Tunnelling Society, Swiss University Sports, Swiss-South African Association, The British-Swiss Chamber of Commerce, Thommen Medical (Switzerland), Unitectra, Universal Rights Group, Velux Stiftung, Verein für Krebsforschung, ViaStoria, Vitrocentre Romont, World Agency of Planetary Monitoring & Earthquake Risk Reduction, World Economic Forum, World Federation of Public Health Associations, ch Stiftung für Eidgenössische Zusammenarbeit",,Swiss Medical Students’ Association,,42
,Give me all cosmonauts.,"Aleksandr Aleksandrovich Skvortsov, Aleksandr Aleksandrovich Volkov, Aleksandr Ivanchenkov, Aleksandr Kaleri, Aleksandr Laveykin, Aleksandr Lazutkin, Aleksandr Nikolayevich Balandin, Aleksandr Pavlovich Aleksandrov, Aleksandr Poleshchuk, Aleksandr Samokutyayev, Aleksandr Serebrov, Aleksandr Viktorenko, Aleksei Gubarev, Aleksei Yeliseyev, Aleksej Homenčuk, Aleksey Ovchinin, Alexander Jabloncev, Alexander Misurkin, Alexey Leonov, Anatoli Ivanishin, Anatoli Levchenko, Anatoly Artsebarsky, Anatoly Berezovoy, Anatoly Filipchenko, Anatoly Solovyev, Andrei Babkin, Andrei Borisenko, Andrey Fedyayev, Andriyan Nikolayev, Anna Kikina, Anton Shkaplerov, Boris Andreyev, Boris Morukov, Boris Volynov, Boris Yegorov, Denis Matveev, Dmitri Kondratyev, Dmitrij Petelin, Eduard Stepanov, Evgeny Tarelkin, Fyodor Yurchikhin, Gennadi Manakov, Gennadi Sarafanov, Gennadi Strekalov, Gennady Padalka, Georgy Beregovoy, Georgy Dobrovolsky, Georgy Grechko, Georgy Shonin, German Szemjonovics Arzamazov, Gherman Titov, Ignat Ignatov, Igor Volk, Irina Rudolfovna Pronyina, Irina Solovyova, Ivan Vagner, Ivanov Georgievich Leonid, Jevgenyij Vlagyimirovics Szalej, Konstantin Feoktistov, Konstantin Kozeyev, Konstantin Valkov, Leonid Kadeniuk, Leonid Kizim, Leonid Popov, Lev Dyomin, Maksim Ponomaryov, Maksim Surayev, Mikhail Korniyenko, Mikhail Lisun, Mikhail Rasputin, Mikhail Tyurin, Mukhtar Aymakhanov, Musa Manarov, Nagyezsda Vasziljevna Kuzselnaja, Nail Sattarov, Nikolai Budarin, Nikolai Tikhonov, Nikolaj Čud, Nikolay Rukavishnikov, Oleg Artemyev, Oleg Atkov, Oleg Grigoryevich Makarov, Oleg Kononenko, Oleg Kotov, Oleg Novitskiy, Oleg Skripochka, Pavel Belyayev, Pavel Popovich, Pavel Vinogradov, Pyotr Dubrov, Pyotr Klimuk, Roman Romanenko, Salizhan Sharipov, Sergei Avdeyev, Sergei Krikalev, Sergei Revin, Sergei Treshchov, Sergei Zalyotin, Sergej Korsakov, Sergej Kud'-Sverčkov, Sergey Alexandrovich Volkov, Sergey Moshchenko, Sergey Nikolaevich Gaidukov, Sergey Prokopyev, Sergey Ryazansky, Sergey Ryzhikov, Sergey Zhukov, Svetlana Savitskaya, Szergej Valerjevics Kosztyenko, Talgat Musabayev, Tatyana Kuznetsova, Toktar Aubakirov, Valentin Bondarenko, Valentin Lebedev, Valentina Ponomaryova, Valentina Tereshkova, Valeri Kubasov, Valeri Polyakov, Valeri Tokarev, Valery Bykovsky, Valery Korzun, Valery Rozhdestvensky, Valery Ryumin, Vasily Lazarev, Vasily Tsibliyev, Viktor Afanasyev, Viktor Gorbatko, Viktor Patsayev, Viktor Savinykh, Vitaly Sevastyanov, Vitaly Zholobov, Vladimir Aksyonov, Vladimir Dezhurov, Vladimir Dzhanibekov, Vladimir Komarov, Vladimir Kovalyonok, Vladimir Lyakhov, Vladimir Shatalov, Vladimir Solovyov, Vladimir Titov, Vladimir Vasyutin, Vladislav Volkov, Vyacheslav Zudov, Yekaterina Ivanova, Yelena Kondakova, Yelena Serova, Yevgeny Khrunov, Yuri Baturin, Yuri Gagarin, Yuri Gidzenko, Yuri Malenchenko, Yuri Senkevich, Yuri Shargin, Yury Artyukhin, Yury Glazkov, Yury Lonchakov, Yury Onufriyenko, Yury Romanenko, Yury Usachov, Yury Vasilyevich Malyshev, Zhanna Yorkina",,"Aleksandr Aleksandrovich Volkov, Aleksandr Ivanchenkov, Aleksandr Kaleri, Aleksandr Laveykin, Aleksandr Lazutkin, Aleksandr Nikolayevich Balandin, Aleksandr Pavlovich Aleksandrov, Aleksandr Poleshchuk, Aleksandr Samokutyayev, Aleksandr Serebrov, Aleksandr Skvortsov (cosmonaut), Aleksandr Viktorenko, Aleksei Gubarev, Aleksei Yeliseyev, Aleksey Ovchinin, Alexander Misurkin, Anatoli Ivanishin, Anatoli Levchenko, Anatoly Artsebarsky, Anatoly Berezovoy, Anatoly Filipchenko, Anatoly Solovyev, Andrei Borisenko, Andriyan Nikolayev, Anna Kikina, Anton Shkaplerov, Boris Andreyev (cosmonaut), Boris Morukov, Boris Volynov, Boris Yegorov, Dmitri Kondratyev, Evgeny Tarelkin, Fyodor Yurchikhin, Gennadi Manakov, Gennadi Sarafanov, Gennadi Strekalov, Gennady Padalka, Georgy Dobrovolsky, Georgy Grechko, Georgy Shonin, Gherman Titov, Grigori Nelyubov, Igor Volk, Ivan Anikeyev, Konstantin Valkov, Leonid Kizim, Leonid Popov, Lev Dyomin, Maksim Surayev, Mars Rafikov, Mikhail Kornienko, Mikhail Tyurin, Nikolai Budarin, Nikolai Tikhonov (cosmonaut), Nikolay Rukavishnikov, Oleg Artemyev, Oleg Atkov, Oleg Grigoryevich Makarov, Oleg Kononenko, Oleg Kotov, Oleg Novitskiy, Oleg Skripochka, Pavel Belyayev, Pavel Popovich, Pavel Vinogradov, Pyotr Klimuk, Roman Romanenko, Sergei Avdeyev, Sergei Krikalev, Sergei Revin, Sergei Treshchov, Sergei Zalyotin, Sergey Nikolayevich Ryzhikov, Sergey Ryazansky, Sergey Volkov (cosmonaut), Svetlana Savitskaya, Valentin Filatyev, Valentin Lebedev, Valentina Tereshkova, Valeri Kubasov, Valeri Tokarev, Valery Bykovsky, Valery Korzun, Valery Rozhdestvensky, Valery Ryumin, Vasily Lazarev, Vasily Tsibliyev, Viktor Afanasyev (cosmonaut), Viktor Gorbatko, Viktor Patsayev, Viktor Savinykh, Vitaly Sevastyanov, Vitaly Zholobov, Vladimir Aksyonov, Vladimir Dezhurov, Vladimir Dzhanibekov, Vladimir Georgiyevich Titov, Vladimir Komarov, Vladimir Kovalyonok, Vladimir Shatalov, Vladimir Solovyov (cosmonaut), Vladimir Vasyutin, Vladislav Volkov, Vyacheslav Zudov, Yelena Kondakova, Yelena Serova, Yevgeny Khrunov, Yuri Baturin, Yuri Gidzenko, Yuri Malenchenko, Yuri Shargin, Yury Artyukhin, Yury Glazkov, Yury Lonchakov, Yury Malyshev (cosmonaut), Yury Onufriyenko, Yury Romanenko, Yury Usachov",,41
"Mickey Mouse Clubhouse, The Mickey Mouse Club, Walt Disney anthology television series",Which types of grapes grow in Oregon?,,,"Albariño, Aligoté, Arneis, Auxerrois Blanc, Baco noir, Barbera, Black Muscat, Blaufränkisch, Cabernet Franc, Cabernet Sauvignon, Caprettone, Carménère, Cayuga White, Chardonnay, Chasselas, Chenin blanc, Coda di Volpe, Counoise, Dolcetto, Durif, Ehrenfelser, Fiano (grape), Frontenac (grape), Gamay noir, Gewurztraminer, Graciano, Grenache, Grenache blanc, Gruner Veltliner, Huxelrebe, Kerner (grape), La Crosse (grape), Lagrein, Leon Millot, Malbec, Malvasia, Marechal Foch, Marquette (grape), Marsanne, Melon de Bourgogne, Merlot, Mondeuse noire, Montepulciano (grape), Mourvèdre, Muller Thurgau, Muscat Canelli, Muscat Ottonel, Nebbiolo, Niagara (grape), Petit Manseng, Petit Verdot, Pinot Meunier, Pinot blanc, Pinot gris, Pinot noir, Pinotage, Riesling, Roussanne, Sangiovese, Sauvignon blanc, Sauvignon vert, Scheurebe, St. Laurent (grape), Sylvaner, Syrah, Sémillon, Tannat, Tempranillo, Teroldego, Tinta Amarela, Tinta Cao, Touriga Nacional, Traminette, Trousseau (grape), Verdejo, Vermentino, Vignoles (grape), Viognier, Zinfandel",,323
,Who is the oldest child of Meryl Streep?,Henry Wolfe Gummer,,Mamie Gummer,,320
,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,"Aage Niels Bohr, Albert Einstein, Arthur Compton, Edwin Mattison McMillan, Emilio G. Segrè, Enrico Fermi, Ernest Lawrence, Eugene Wigner, Felix Bloch, Frederick Reines, Glenn Seaborg, H.J. Muller, Hans Bethe, Harold Urey, Isidor Isaac Rabi, James Chadwick, James Franck, James Rainwater, Jerome Karle, John Cockcroft, John Hasbrouck Van Vleck, Joseph Rotblat, Luis Walter Alvarez, Maria Goeppert Mayer, Maurice Wilkins, Niels Bohr, Norman Foster Ramsey, Owen Chamberlain, Richard Feynman, Roy J. Glauber, Subrahmanyan Chandrasekhar, Val Logsdon Fitch, Willard Libby",,Joseph Rotblat,,328
,Who is the manager of Real Madrid?,Zinedine Zidane,,Zinedine Zidane,,146
,In which country does the Nile start?,Burundi,,"Ethiopia, Rwanda",,205
,What is the biggest stadium in Spain?,Estadio de La Cartuja,,Vicente Calderón Stadium,,207
,In which state Penn State University is located?,State College,,Pennsylvania,,206
,Who is the owner of Rolls-Royce?,"Baillie Gifford, Northern Cross, ValueAct Capital",,"Vickers plc, Volkswagen Group",,75
,Give me all ESA astronauts.,"Alexander Gerst, Claude Nicollier, Luca Parmitano, Léopold Eyharts, Matthias Maurer, Maurizio Cheli, Pedro Duque, Samantha Cristoforetti, Sigmund Jähn, Thomas Reiter, Timothy Peake, Umberto Guidoni",,Dirk Frimout,,73
,Which pope succeeded John Paul II?,"António de Castro Xavier Monteiro, Benedict XVI, Franciszek Macharski",,Pope Benedict XVI,,72
,Give me all federal chancellors of Germany.,"Angela Merkel, Gerhard Schröder, Helmut Kohl, Helmut Schmidt, Konrad Adenauer, Kurt Georg Kiesinger, Ludwig Erhard, Walter Scheel, Willy Brandt",,"Adolf Hitler, Angela Merkel, Chlodwig, Prince of Hohenlohe-Schillingsfürst, Friedrich Ebert, Gerhard Schröder, Helmut Kohl, Helmut Schmidt, Konrad Adenauer, Kurt Georg Kiesinger, Leo von Caprivi, Ludwig Erhard, Otto von Bismarck, Philipp Scheidemann, Willy Brandt",,78
,Which electronics companies were founded in Beijing?,Lenovo,,Lenovo,,263
,In which city are the headquarters of the United Nations?,New York City,,New York City,,404
,Who discovered Pluto?,"Clyde Tombaugh, Lowell Observatory",,Clyde Tombaugh,,413
,To which artistic movement did the painter of The Three Dancers belong?,"Cubism, Post-Impressionism, Surrealism",,"Cubism, Surrealism",,355
,Who is the host of the BBC Wildlife Specials?,BBC One,,David Attenborough,,352
,Who was buried in the Great Pyramid of Giza?,Khufu,,"Hetepheres I, Hetepheres II",,359
